"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"145",1,"mhmm",4,200,"1.4","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"146",2,"mhmm",4,200,"1.4","gamma_prob_bar_S1toS2_no_diag",0.333,0.33,0.33,0.02,0,0.2,0,0.16,99.22
"147",3,"mhmm",4,200,"1.4","gamma_prob_bar_S1toS3_no_diag",0.333,0.33,0.33,0.02,0,0.02,0,0.07,98.44
"148",4,"mhmm",4,200,"1.4","gamma_prob_bar_S1toS4_no_diag",0.333,0.33,0.33,0.02,0,0.18,0,0.22,100
"149",5,"mhmm",4,200,"1.4","gamma_prob_bar_S2toS1_no_diag",0.333,0.34,0.34,0.01,0,0.56,0,0.53,98.44
"150",6,"mhmm",4,200,"1.4","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"151",7,"mhmm",4,200,"1.4","gamma_prob_bar_S2toS3_no_diag",0.333,0.33,0.33,0.02,0,0.31,0,0.26,100
"152",8,"mhmm",4,200,"1.4","gamma_prob_bar_S2toS4_no_diag",0.333,0.33,0.33,0.02,0,0.87,0,0.91,100
"153",9,"mhmm",4,200,"1.4","gamma_prob_bar_S3toS1_no_diag",0.333,0.33,0.33,0.01,0,0.51,0,0.53,99.22
"154",10,"mhmm",4,200,"1.4","gamma_prob_bar_S3toS2_no_diag",0.333,0.33,0.33,0.02,0,0.4,0,0.36,100
"155",11,"mhmm",4,200,"1.4","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"156",12,"mhmm",4,200,"1.4","gamma_prob_bar_S3toS4_no_diag",0.333,0.33,0.33,0.02,0,0.11,0,0.06,99.22
"157",13,"mhmm",4,200,"1.4","gamma_prob_bar_S4toS1_no_diag",0.333,0.33,0.33,0.01,0,0.61,0,0.64,96.88
"158",14,"mhmm",4,200,"1.4","gamma_prob_bar_S4toS2_no_diag",0.333,0.33,0.33,0.02,0,0.31,0,0.34,99.22
"159",15,"mhmm",4,200,"1.4","gamma_prob_bar_S4toS3_no_diag",0.333,0.34,0.34,0.02,0,0.93,0,0.88,99.22
"160",16,"mhmm",4,200,"1.4","gamma_prob_bar_S4toS4_no_diag",0,0,0,0,0,NA,0,NA,100
"161",17,"mhmm",4,200,"1.4","dwell_mu_bar_1",1.443,0.88,0.88,0.06,-0.56,38.9,-0.56,39.06,0
"162",18,"mhmm",4,200,"1.4","dwell_mu_bar_2",1.443,0.87,0.87,0.06,-0.57,39.48,-0.57,39.66,0
"163",19,"mhmm",4,200,"1.4","dwell_mu_bar_3",1.443,0.87,0.87,0.06,-0.57,39.67,-0.57,39.85,0
"164",20,"mhmm",4,200,"1.4","dwell_mu_bar_4",1.443,0.86,0.86,0.06,-0.58,40.1,-0.58,40.28,0
"165",1,"mhmm",4,200,"3.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"166",2,"mhmm",4,200,"3.5","gamma_prob_bar_S1toS2_no_diag",0.333,0.34,0.34,0.02,0.01,2.77,0.01,2.71,98.44
"167",3,"mhmm",4,200,"3.5","gamma_prob_bar_S1toS3_no_diag",0.333,0.33,0.33,0.02,-0.01,2,-0.01,2.09,98.44
"168",4,"mhmm",4,200,"3.5","gamma_prob_bar_S1toS4_no_diag",0.333,0.33,0.33,0.02,0,0.77,0,0.83,100
"169",5,"mhmm",4,200,"3.5","gamma_prob_bar_S2toS1_no_diag",0.333,0.34,0.34,0.02,0.01,2.64,0.01,2.62,95.31
"170",6,"mhmm",4,200,"3.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"171",7,"mhmm",4,200,"3.5","gamma_prob_bar_S2toS3_no_diag",0.333,0.34,0.34,0.02,0.01,2.06,0.01,2,96.09
"172",8,"mhmm",4,200,"3.5","gamma_prob_bar_S2toS4_no_diag",0.333,0.32,0.32,0.02,-0.02,4.7,-0.02,4.76,96.09
"173",9,"mhmm",4,200,"3.5","gamma_prob_bar_S3toS1_no_diag",0.333,0.32,0.32,0.02,-0.01,3.72,-0.01,3.75,94.53
"174",10,"mhmm",4,200,"3.5","gamma_prob_bar_S3toS2_no_diag",0.333,0.34,0.34,0.02,0.01,2.51,0.01,2.45,98.44
"175",11,"mhmm",4,200,"3.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"176",12,"mhmm",4,200,"3.5","gamma_prob_bar_S3toS4_no_diag",0.333,0.34,0.34,0.02,0,1.21,0,1.17,99.22
"177",13,"mhmm",4,200,"3.5","gamma_prob_bar_S4toS1_no_diag",0.333,0.33,0.33,0.02,0,0.62,0,0.67,98.44
"178",14,"mhmm",4,200,"3.5","gamma_prob_bar_S4toS2_no_diag",0.333,0.32,0.32,0.02,-0.01,2.63,-0.01,2.68,98.44
"179",15,"mhmm",4,200,"3.5","gamma_prob_bar_S4toS3_no_diag",0.333,0.34,0.34,0.02,0.01,3.25,0.01,3.19,97.66
"180",16,"mhmm",4,200,"3.5","gamma_prob_bar_S4toS4_no_diag",0,0,0,0,0,NA,0,NA,100
"181",17,"mhmm",4,200,"3.5","dwell_mu_bar_1",3.476,2.61,2.61,0.17,-0.86,24.78,-0.87,24.97,0.78
"182",18,"mhmm",4,200,"3.5","dwell_mu_bar_2",3.476,2.53,2.52,0.18,-0.95,27.2,-0.95,27.42,0
